S,Feedback,Sentiment,punctuation_removed,nltk_token,StopWords_Removed
469,"Looks great and is strong.""",Positive,Looks great and is strong,"['looks', 'great', 'and', 'is', 'strong']","['looks', 'great', 'strong']"
470,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",Positive,I have had TMobile service for 2 or 3 years now and I am pretty happy with it,"['i', 'have', 'had', 'tmobile', 'service', 'for', '2', 'or', '3', 'years', 'now', 'and', 'i', 'am', 'pretty', 'happy', 'with', 'it']","['tmobile', 'service', '2', '3', 'years', 'pretty', 'happy']"
471,The update procedure is difficult and cumbersome.,Negative,The update procedure is difficult and cumbersome,"['the', 'update', 'procedure', 'is', 'difficult', 'and', 'cumbersome']","['update', 'procedure', 'difficult', 'cumbersome']"
472,Disappointment.. I hate anything that goes in my ear.,Negative,Disappointment I hate anything that goes in my ear,"['disappointment', 'i', 'hate', 'anything', 'that', 'goes', 'in', 'my', 'ear']","['disappointment', 'hate', 'anything', 'goes', 'ear']"
473,Great software for Motorolas.,Positive,Great software for Motorolas,"['great', 'software', 'for', 'motorolas']","['great', 'software', 'motorolas']"
474,The delivery was on time.,Positive,The delivery was on time,"['the', 'delivery', 'was', 'on', 'time']","['delivery', 'time']"
475,Very easy to use.,Positive,Very easy to use,"['very', 'easy', 'to', 'use']","['easy', 'use']"
476,"Uncomfortable In the Ear, Don't use with LG VX9900 (EnV).",Negative,Uncomfortable In the Ear Dont use with LG VX9900 EnV,"['uncomfortable', 'in', 'the', 'ear', 'dont', 'use', 'with', 'lg', 'vx9900', 'env']","['uncomfortable', 'ear', 'dont', 'use', 'lg', 'vx9900', 'env']"
477,The volume switch rocketed out of the unit to a destination unknown.,Negative,The volume switch rocketed out of the unit to a destination unknown,"['the', 'volume', 'switch', 'rocketed', 'out', 'of', 'the', 'unit', 'to', 'a', 'destination', 'unknown']","['volume', 'switch', 'rocketed', 'unit', 'destination', 'unknown']"
478,"It holds a charge for a long time, is reasonably comfortable under long-wearing conditions and the quality of sound is tremendous.",Positive,It holds a charge for a long time is reasonably comfortable under longwearing conditions and the quality of sound is tremendous,"['it', 'holds', 'a', 'charge', 'for', 'a', 'long', 'time', 'is', 'reasonably', 'comfortable', 'under', 'longwearing', 'conditions', 'and', 'the', 'quality', 'of', 'sound', 'is', 'tremendous']","['holds', 'charge', 'long', 'time', 'reasonably', 'comfortable', 'longwearing', 'conditions', 'quality', 'sound', 'tremendous']"
479,I'd like to return it.,Negative,Id like to return it,"['id', 'like', 'to', 'return', 'it']","['id', 'like', 'return']"
480,The keyboard is really worthwhile in usefulness and is sturdy enough I don't expect any problems.,Positive,The keyboard is really worthwhile in usefulness and is sturdy enough I dont expect any problems,"['the', 'keyboard', 'is', 'really', 'worthwhile', 'in', 'usefulness', 'and', 'is', 'sturdy', 'enough', 'i', 'dont', 'expect', 'any', 'problems']","['keyboard', 'really', 'worthwhile', 'usefulness', 'sturdy', 'enough', 'dont', 'expect', 'problems']"
481,"Verizon's bills, however, are difficult to understand even though their pricing plans are simple.",Negative,Verizons bills however are difficult to understand even though their pricing plans are simple,"['verizons', 'bills', 'however', 'are', 'difficult', 'to', 'understand', 'even', 'though', 'their', 'pricing', 'plans', 'are', 'simple']","['verizons', 'bills', 'however', 'difficult', 'understand', 'even', 'though', 'pricing', 'plans', 'simple']"
482,"After charging overnight, these batteries work great.",Positive,After charging overnight these batteries work great,"['after', 'charging', 'overnight', 'these', 'batteries', 'work', 'great']","['charging', 'overnight', 'batteries', 'work', 'great']"
483,You won't regret it!,Positive,You wont regret it,"['you', 'wont', 'regret', 'it']","['wont', 'regret']"
484,I love this phone!.,Positive,I love this phone,"['i', 'love', 'this', 'phone']","['love', 'phone']"
485,A Disappointment.,Negative,A Disappointment,"['a', 'disappointment']",['disappointment']
486,Its not user friendly.,Negative,Its not user friendly,"['its', 'not', 'user', 'friendly']","['user', 'friendly']"
487,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect.,Negative,Unfortunately the ability to actually know you are receiving a call is a rather important feature and this phone is pitiful in that respect,"['unfortunately', 'the', 'ability', 'to', 'actually', 'know', 'you', 'are', 'receiving', 'a', 'call', 'is', 'a', 'rather', 'important', 'feature', 'and', 'this', 'phone', 'is', 'pitiful', 'in', 'that', 'respect']","['unfortunately', 'ability', 'actually', 'know', 'receiving', 'call', 'rather', 'important', 'feature', 'phone', 'pitiful', 'respect']"
488,"Then I exchanged for the same phone, even that had the same problem.",Negative,Then I exchanged for the same phone even that had the same problem,"['then', 'i', 'exchanged', 'for', 'the', 'same', 'phone', 'even', 'that', 'had', 'the', 'same', 'problem']","['exchanged', 'phone', 'even', 'problem']"
489,This results in the phone being either stuck at max volume or mute.,Negative,This results in the phone being either stuck at max volume or mute,"['this', 'results', 'in', 'the', 'phone', 'being', 'either', 'stuck', 'at', 'max', 'volume', 'or', 'mute']","['results', 'phone', 'either', 'stuck', 'max', 'volume', 'mute']"
490,This PDA rocks.,Positive,This PDA rocks,"['this', 'pda', 'rocks']","['pda', 'rocks']"
491,"It is super charged up for use as a small hybrid palmtop/camera/cellphone, and excels in those roles.",Positive,It is super charged up for use as a small hybrid palmtopcameracellphone and excels in those roles,"['it', 'is', 'super', 'charged', 'up', 'for', 'use', 'as', 'a', 'small', 'hybrid', 'palmtopcameracellphone', 'and', 'excels', 'in', 'those', 'roles']","['super', 'charged', 'use', 'small', 'hybrid', 'palmtopcameracellphone', 'excels', 'roles']"
492,"I would definitely recommend the Jabra BT250v for those who are looking for comfort, clarity and a great price!",Positive,I would definitely recommend the Jabra BT250v for those who are looking for comfort clarity and a great price,"['i', 'would', 'definitely', 'recommend', 'the', 'jabra', 'bt250v', 'for', 'those', 'who', 'are', 'looking', 'for', 'comfort', 'clarity', 'and', 'a', 'great', 'price']","['would', 'definitely', 'recommend', 'jabra', 'bt250v', 'looking', 'comfort', 'clarity', 'great', 'price']"
493,I had Verizon 2 years ago and really liked their service.,Positive,I had Verizon 2 years ago and really liked their service,"['i', 'had', 'verizon', '2', 'years', 'ago', 'and', 'really', 'liked', 'their', 'service']","['verizon', '2', 'years', 'ago', 'really', 'liked', 'service']"
494,Pretty piece of junk.,Negative,Pretty piece of junk,"['pretty', 'piece', 'of', 'junk']","['pretty', 'piece', 'junk']"
495,Plug was the wrong size.,Negative,Plug was the wrong size,"['plug', 'was', 'the', 'wrong', 'size']","['plug', 'wrong', 'size']"
496,Works as described.,Positive,Works as described,"['works', 'as', 'described']","['works', 'described']"
497,Save your money.... I've had this item for 11 months now.,Negative,Save your money Ive had this item for 11 months now,"['save', 'your', 'money', 'ive', 'had', 'this', 'item', 'for', '11', 'months', 'now']","['save', 'money', 'ive', 'item', '11', 'months']"
498,Bad Purchase.,Negative,Bad Purchase,"['bad', 'purchase']","['bad', 'purchase']"
499,WELL IM SATISFIED.,Positive,WELL IM SATISFIED,"['well', 'im', 'satisfied']","['well', 'im', 'satisfied']"
500,"The bose noise cancelling is amazing, which is very important for a NYC commuter.",Positive,The bose noise cancelling is amazing which is very important for a NYC commuter,"['the', 'bose', 'noise', 'cancelling', 'is', 'amazing', 'which', 'is', 'very', 'important', 'for', 'a', 'nyc', 'commuter']","['bose', 'noise', 'cancelling', 'amazing', 'important', 'nyc', 'commuter']"
501,This battery is an excellent bargain!,Positive,This battery is an excellent bargain,"['this', 'battery', 'is', 'an', 'excellent', 'bargain']","['battery', 'excellent', 'bargain']"
502,Defective crap.,Negative,Defective crap,"['defective', 'crap']","['defective', 'crap']"
503,I would have given no star if I was able.,Negative,I would have given no star if I was able,"['i', 'would', 'have', 'given', 'no', 'star', 'if', 'i', 'was', 'able']","['would', 'given', 'star', 'able']"
504,I wear glasses and it fits fine with them.,Positive,I wear glasses and it fits fine with them,"['i', 'wear', 'glasses', 'and', 'it', 'fits', 'fine', 'with', 'them']","['wear', 'glasses', 'fits', 'fine']"
505,"The sound quality for the device is unacceptable.Unless you are in a really quiet area, you almost hear nothing.",Negative,The sound quality for the device is unacceptableUnless you are in a really quiet area you almost hear nothing,"['the', 'sound', 'quality', 'for', 'the', 'device', 'is', 'unacceptableunless', 'you', 'are', 'in', 'a', 'really', 'quiet', 'area', 'you', 'almost', 'hear', 'nothing']","['sound', 'quality', 'device', 'unacceptableunless', 'really', 'quiet', 'area', 'almost', 'hear', 'nothing']"
506,I would not recommend this item to anyone.,Negative,I would not recommend this item to anyone,"['i', 'would', 'not', 'recommend', 'this', 'item', 'to', 'anyone']","['would', 'recommend', 'item', 'anyone']"
507,The holster that arrived did not match the photo in the ad.,Negative,The holster that arrived did not match the photo in the ad,"['the', 'holster', 'that', 'arrived', 'did', 'not', 'match', 'the', 'photo', 'in', 'the', 'ad']","['holster', 'arrived', 'match', 'photo', 'ad']"
508,great...no problems at all!.,Positive,greatno problems at all,"['greatno', 'problems', 'at', 'all']","['greatno', 'problems']"
509,"As an earlier review noted, plug in this charger and nothing happens.",Negative,As an earlier review noted plug in this charger and nothing happens,"['as', 'an', 'earlier', 'review', 'noted', 'plug', 'in', 'this', 'charger', 'and', 'nothing', 'happens']","['earlier', 'review', 'noted', 'plug', 'charger', 'nothing', 'happens']"
510,This frog phone charm is adorable and very eye catching.,Positive,This frog phone charm is adorable and very eye catching,"['this', 'frog', 'phone', 'charm', 'is', 'adorable', 'and', 'very', 'eye', 'catching']","['frog', 'phone', 'charm', 'adorable', 'eye', 'catching']"
511,You never know if you pushed it hard enough or the right number of times for the function you want or not.,Negative,You never know if you pushed it hard enough or the right number of times for the function you want or not,"['you', 'never', 'know', 'if', 'you', 'pushed', 'it', 'hard', 'enough', 'or', 'the', 'right', 'number', 'of', 'times', 'for', 'the', 'function', 'you', 'want', 'or', 'not']","['never', 'know', 'pushed', 'hard', 'enough', 'right', 'number', 'times', 'function', 'want']"
512,The sound is clear and the people I talk to on it are amazed at the quality too.,Positive,The sound is clear and the people I talk to on it are amazed at the quality too,"['the', 'sound', 'is', 'clear', 'and', 'the', 'people', 'i', 'talk', 'to', 'on', 'it', 'are', 'amazed', 'at', 'the', 'quality', 'too']","['sound', 'clear', 'people', 'talk', 'amazed', 'quality']"
513,I got the aluminum case for my new Palm VX and it worked really well--it has protected my handheld perfectly so far.,Positive,I got the aluminum case for my new Palm VX and it worked really wellit has protected my handheld perfectly so far,"['i', 'got', 'the', 'aluminum', 'case', 'for', 'my', 'new', 'palm', 'vx', 'and', 'it', 'worked', 'really', 'wellit', 'has', 'protected', 'my', 'handheld', 'perfectly', 'so', 'far']","['got', 'aluminum', 'case', 'new', 'palm', 'vx', 'worked', 'really', 'wellit', 'protected', 'handheld', 'perfectly', 'far']"
514,"very good product, well made.",Positive,very good product well made,"['very', 'good', 'product', 'well', 'made']","['good', 'product', 'well', 'made']"
515,Mobile Phone Tools are a must have.,Positive,Mobile Phone Tools are a must have,"['mobile', 'phone', 'tools', 'are', 'a', 'must', 'have']","['mobile', 'phone', 'tools', 'must']"
516,I am very impressed with the job that Motorola did on the sturdiness of this phone.,Positive,I am very impressed with the job that Motorola did on the sturdiness of this phone,"['i', 'am', 'very', 'impressed', 'with', 'the', 'job', 'that', 'motorola', 'did', 'on', 'the', 'sturdiness', 'of', 'this', 'phone']","['impressed', 'job', 'motorola', 'sturdiness', 'phone']"
517,"I received my orders well within the shipping timeframe, everything was in good working order and overall, I am very excited to have this source.",Positive,I received my orders well within the shipping timeframe everything was in good working order and overall I am very excited to have this source,"['i', 'received', 'my', 'orders', 'well', 'within', 'the', 'shipping', 'timeframe', 'everything', 'was', 'in', 'good', 'working', 'order', 'and', 'overall', 'i', 'am', 'very', 'excited', 'to', 'have', 'this', 'source']","['received', 'orders', 'well', 'within', 'shipping', 'timeframe', 'everything', 'good', 'working', 'order', 'overall', 'excited', 'source']"
518,The phone is sturdy and waterproof.,Positive,The phone is sturdy and waterproof,"['the', 'phone', 'is', 'sturdy', 'and', 'waterproof']","['phone', 'sturdy', 'waterproof']"
519,I am not impressed with this and i would not recommend this item to anyone.,Negative,I am not impressed with this and i would not recommend this item to anyone,"['i', 'am', 'not', 'impressed', 'with', 'this', 'and', 'i', 'would', 'not', 'recommend', 'this', 'item', 'to', 'anyone']","['impressed', 'would', 'recommend', 'item', 'anyone']"
520,My only complaint is the standard sound volume is a little low even when turned up to 5(of 5),Negative,My only complaint is the standard sound volume is a little low even when turned up to 5of 5,"['my', 'only', 'complaint', 'is', 'the', 'standard', 'sound', 'volume', 'is', 'a', 'little', 'low', 'even', 'when', 'turned', 'up', 'to', '5of', '5']","['complaint', 'standard', 'sound', 'volume', 'little', 'low', 'even', 'turned', '5of', '5']"
521,Thanks again to Amazon for having the things I need for a good price!,Positive,Thanks again to Amazon for having the things I need for a good price,"['thanks', 'again', 'to', 'amazon', 'for', 'having', 'the', 'things', 'i', 'need', 'for', 'a', 'good', 'price']","['thanks', 'amazon', 'things', 'need', 'good', 'price']"
522,I ended up sliding it on the edge of my pants or back pockets instead.,Positive,I ended up sliding it on the edge of my pants or back pockets instead,"['i', 'ended', 'up', 'sliding', 'it', 'on', 'the', 'edge', 'of', 'my', 'pants', 'or', 'back', 'pockets', 'instead']","['ended', 'sliding', 'edge', 'pants', 'back', 'pockets', 'instead']"
523,I had to go to a store and bought a new NOKIA phone which is working great.,Positive,I had to go to a store and bought a new NOKIA phone which is working great,"['i', 'had', 'to', 'go', 'to', 'a', 'store', 'and', 'bought', 'a', 'new', 'nokia', 'phone', 'which', 'is', 'working', 'great']","['go', 'store', 'bought', 'new', 'nokia', 'phone', 'working', 'great']"
524,Works great!.,Positive,Works great,"['works', 'great']","['works', 'great']"
525,REALLY UGLY.,Negative,REALLY UGLY,"['really', 'ugly']","['really', 'ugly']"
526,"horrible, had to switch 3 times.",Negative,horrible had to switch 3 times,"['horrible', 'had', 'to', 'switch', '3', 'times']","['horrible', 'switch', '3', 'times']"
527,The noise shield is incrediable.,Positive,The noise shield is incrediable,"['the', 'noise', 'shield', 'is', 'incrediable']","['noise', 'shield', 'incrediable']"
528,No real improvement.,Negative,No real improvement,"['no', 'real', 'improvement']","['real', 'improvement']"
529,Razr Battery - Good buy.,Positive,Razr Battery  Good buy,"['razr', 'battery', 'good', 'buy']","['razr', 'battery', 'good', 'buy']"
530,Keep up the good work Amazon!!,Positive,Keep up the good work Amazon,"['keep', 'up', 'the', 'good', 'work', 'amazon']","['keep', 'good', 'work', 'amazon']"
531,They refuse to refund or replace.,Negative,They refuse to refund or replace,"['they', 'refuse', 'to', 'refund', 'or', 'replace']","['refuse', 'refund', 'replace']"
532,Unfortunately it's easy to accidentally activate them with the gentle-touch buttons if you accidentally touch the phone to your face while listening.,Negative,Unfortunately its easy to accidentally activate them with the gentletouch buttons if you accidentally touch the phone to your face while listening,"['unfortunately', 'its', 'easy', 'to', 'accidentally', 'activate', 'them', 'with', 'the', 'gentletouch', 'buttons', 'if', 'you', 'accidentally', 'touch', 'the', 'phone', 'to', 'your', 'face', 'while', 'listening']","['unfortunately', 'easy', 'accidentally', 'activate', 'gentletouch', 'buttons', 'accidentally', 'touch', 'phone', 'face', 'listening']"
533,So I basically threw my money out the window for nothing.,Negative,So I basically threw my money out the window for nothing,"['so', 'i', 'basically', 'threw', 'my', 'money', 'out', 'the', 'window', 'for', 'nothing']","['basically', 'threw', 'money', 'window', 'nothing']"
534,Great case and price!,Positive,Great case and price,"['great', 'case', 'and', 'price']","['great', 'case', 'price']"
535,All it took was one drop from about 6 inches above the kitchen counter and it was cracked.I am not impressed and I am not laughing.,Negative,All it took was one drop from about 6 inches above the kitchen counter and it was crackedI am not impressed and I am not laughing,"['all', 'it', 'took', 'was', 'one', 'drop', 'from', 'about', '6', 'inches', 'above', 'the', 'kitchen', 'counter', 'and', 'it', 'was', 'crackedi', 'am', 'not', 'impressed', 'and', 'i', 'am', 'not', 'laughing']","['took', 'one', 'drop', '6', 'inches', 'kitchen', 'counter', 'crackedi', 'impressed', 'laughing']"
536,"Bluetooth range is good - a few days ago I left my phone in the trunk, got a call, and carried the conversation without a hitch.",Positive,Bluetooth range is good  a few days ago I left my phone in the trunk got a call and carried the conversation without a hitch,"['bluetooth', 'range', 'is', 'good', 'a', 'few', 'days', 'ago', 'i', 'left', 'my', 'phone', 'in', 'the', 'trunk', 'got', 'a', 'call', 'and', 'carried', 'the', 'conversation', 'without', 'a', 'hitch']","['bluetooth', 'range', 'good', 'days', 'ago', 'left', 'phone', 'trunk', 'got', 'call', 'carried', 'conversation', 'without', 'hitch']"
537,"Small, sleek, impressive looking, practical setup with ample storage in place.",Positive,Small sleek impressive looking practical setup with ample storage in place,"['small', 'sleek', 'impressive', 'looking', 'practical', 'setup', 'with', 'ample', 'storage', 'in', 'place']","['small', 'sleek', 'impressive', 'looking', 'practical', 'setup', 'ample', 'storage', 'place']"
538,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,Positive,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity,"['the', 'eargels', 'channel', 'the', 'sound', 'directly', 'into', 'your', 'ear', 'and', 'seem', 'to', 'increase', 'the', 'sound', 'volume', 'and', 'clarity']","['eargels', 'channel', 'sound', 'directly', 'ear', 'seem', 'increase', 'sound', 'volume', 'clarity']"
539,none of the new ones have ever quite worked properly.,Negative,none of the new ones have ever quite worked properly,"['none', 'of', 'the', 'new', 'ones', 'have', 'ever', 'quite', 'worked', 'properly']","['none', 'new', 'ones', 'ever', 'quite', 'worked', 'properly']"
540,I am glad I purchased it.,Positive,I am glad I purchased it,"['i', 'am', 'glad', 'i', 'purchased', 'it']","['glad', 'purchased']"
541,I've missed numerous calls because of this reason.,Negative,Ive missed numerous calls because of this reason,"['ive', 'missed', 'numerous', 'calls', 'because', 'of', 'this', 'reason']","['ive', 'missed', 'numerous', 'calls', 'reason']"
542,"Perhaps my phone is defective, but people cannot hear me when I use this.",Negative,Perhaps my phone is defective but people cannot hear me when I use this,"['perhaps', 'my', 'phone', 'is', 'defective', 'but', 'people', 'can', 'not', 'hear', 'me', 'when', 'i', 'use', 'this']","['perhaps', 'phone', 'defective', 'people', 'hear', 'use']"
543,Don't buy this product.,Negative,Dont buy this product,"['dont', 'buy', 'this', 'product']","['dont', 'buy', 'product']"
544,"sucked, most of the stuff does not work with my phone.",Negative,sucked most of the stuff does not work with my phone,"['sucked', 'most', 'of', 'the', 'stuff', 'does', 'not', 'work', 'with', 'my', 'phone']","['sucked', 'stuff', 'work', 'phone']"
545,"No shifting, no bubbling, no peeling, not even a scratch, NOTHING!I couldn't be more happier with my new one for the Droid.",Positive,No shifting no bubbling no peeling not even a scratch NOTHINGI couldnt be more happier with my new one for the Droid,"['no', 'shifting', 'no', 'bubbling', 'no', 'peeling', 'not', 'even', 'a', 'scratch', 'nothingi', 'couldnt', 'be', 'more', 'happier', 'with', 'my', 'new', 'one', 'for', 'the', 'droid']","['shifting', 'bubbling', 'peeling', 'even', 'scratch', 'nothingi', 'couldnt', 'happier', 'new', 'one', 'droid']"
546,Worst software ever used.... If I could give this zero stars I would.,Negative,Worst software ever used If I could give this zero stars I would,"['worst', 'software', 'ever', 'used', 'if', 'i', 'could', 'give', 'this', 'zero', 'stars', 'i', 'would']","['worst', 'software', 'ever', 'used', 'could', 'give', 'zero', 'stars', 'would']"
547,Trying to make a call on these is an exercise in frustration.,Negative,Trying to make a call on these is an exercise in frustration,"['trying', 'to', 'make', 'a', 'call', 'on', 'these', 'is', 'an', 'exercise', 'in', 'frustration']","['trying', 'make', 'call', 'exercise', 'frustration']"
548,The case is a flimsy piece of plastic and has no front or side protection whatsoever.,Negative,The case is a flimsy piece of plastic and has no front or side protection whatsoever,"['the', 'case', 'is', 'a', 'flimsy', 'piece', 'of', 'plastic', 'and', 'has', 'no', 'front', 'or', 'side', 'protection', 'whatsoever']","['case', 'flimsy', 'piece', 'plastic', 'front', 'side', 'protection', 'whatsoever']"
549,"I own a Jabra Earset and was very happy with it, but the sound quality, especially outgoing, on this is better.",Positive,I own a Jabra Earset and was very happy with it but the sound quality especially outgoing on this is better,"['i', 'own', 'a', 'jabra', 'earset', 'and', 'was', 'very', 'happy', 'with', 'it', 'but', 'the', 'sound', 'quality', 'especially', 'outgoing', 'on', 'this', 'is', 'better']","['jabra', 'earset', 'happy', 'sound', 'quality', 'especially', 'outgoing', 'better']"
550,"I love the camera, it's really pretty good quality.",Positive,I love the camera its really pretty good quality,"['i', 'love', 'the', 'camera', 'its', 'really', 'pretty', 'good', 'quality']","['love', 'camera', 'really', 'pretty', 'good', 'quality']"
551,Thank you for such great service.,Positive,Thank you for such great service,"['thank', 'you', 'for', 'such', 'great', 'service']","['thank', 'great', 'service']"
552,Its a total package.,Positive,Its a total package,"['its', 'a', 'total', 'package']","['total', 'package']"
553,"The seller is very understanding and patient, I would definitely buy from them again.",Positive,The seller is very understanding and patient I would definitely buy from them again,"['the', 'seller', 'is', 'very', 'understanding', 'and', 'patient', 'i', 'would', 'definitely', 'buy', 'from', 'them', 'again']","['seller', 'understanding', 'patient', 'would', 'definitely', 'buy']"
554,I give Wirefly 1 star.I will contact Cingular/AT&T;  and inform them of this practice,Negative,I give Wirefly 1 starI will contact CingularATT  and inform them of this practice,"['i', 'give', 'wirefly', '1', 'stari', 'will', 'contact', 'cingularatt', 'and', 'inform', 'them', 'of', 'this', 'practice']","['give', 'wirefly', '1', 'stari', 'contact', 'cingularatt', 'inform', 'practice']"
555,It's AGGRAVATING!,Negative,Its AGGRAVATING,"['its', 'aggravating']",['aggravating']
556,Great product for the price!.,Positive,Great product for the price,"['great', 'product', 'for', 'the', 'price']","['great', 'product', 'price']"
557,"I have purchased these for both family and friends, and all enjoy their clarity and ease of use",Positive,I have purchased these for both family and friends and all enjoy their clarity and ease of use,"['i', 'have', 'purchased', 'these', 'for', 'both', 'family', 'and', 'friends', 'and', 'all', 'enjoy', 'their', 'clarity', 'and', 'ease', 'of', 'use']","['purchased', 'family', 'friends', 'enjoy', 'clarity', 'ease', 'use']"
558,Virgin Wireless rocks and so does this cheap little phone!,Positive,Virgin Wireless rocks and so does this cheap little phone,"['virgin', 'wireless', 'rocks', 'and', 'so', 'does', 'this', 'cheap', 'little', 'phone']","['virgin', 'wireless', 'rocks', 'cheap', 'little', 'phone']"
559,"None of it works, just don't buy it.",Negative,None of it works just dont buy it,"['none', 'of', 'it', 'works', 'just', 'dont', 'buy', 'it']","['none', 'works', 'dont', 'buy']"
560,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",Negative,Muddy low quality sound and the casing around the wires insert was poorly super glued and slid off,"['muddy', 'low', 'quality', 'sound', 'and', 'the', 'casing', 'around', 'the', 'wires', 'insert', 'was', 'poorly', 'super', 'glued', 'and', 'slid', 'off']","['muddy', 'low', 'quality', 'sound', 'casing', 'around', 'wires', 'insert', 'poorly', 'super', 'glued', 'slid']"
561,Please dont waste your money.,Negative,Please dont waste your money,"['please', 'dont', 'waste', 'your', 'money']","['please', 'dont', 'waste', 'money']"
562,"All in all, I'm quite satisfied with this purchase.",Positive,All in all Im quite satisfied with this purchase,"['all', 'in', 'all', 'im', 'quite', 'satisfied', 'with', 'this', 'purchase']","['im', 'quite', 'satisfied', 'purchase']"
563,"If you are looking for a good quality Motorola Headset keep looking, this isn't it.",Negative,If you are looking for a good quality Motorola Headset keep looking this isnt it,"['if', 'you', 'are', 'looking', 'for', 'a', 'good', 'quality', 'motorola', 'headset', 'keep', 'looking', 'this', 'isnt', 'it']","['looking', 'good', 'quality', 'motorola', 'headset', 'keep', 'looking', 'isnt']"
564,Yet Plantronincs continues to use the same flawed charger design.,Negative,Yet Plantronincs continues to use the same flawed charger design,"['yet', 'plantronincs', 'continues', 'to', 'use', 'the', 'same', 'flawed', 'charger', 'design']","['yet', 'plantronincs', 'continues', 'use', 'flawed', 'charger', 'design']"
565,Disapointing Results.,Negative,Disapointing Results,"['disapointing', 'results']","['disapointing', 'results']"
566,Cumbersome design.,Negative,Cumbersome design,"['cumbersome', 'design']","['cumbersome', 'design']"
567,"Great it was new packaged nice works good, no problems and it came in less time then I expected!!!!",Positive,Great it was new packaged nice works good no problems and it came in less time then I expected,"['great', 'it', 'was', 'new', 'packaged', 'nice', 'works', 'good', 'no', 'problems', 'and', 'it', 'came', 'in', 'less', 'time', 'then', 'i', 'expected']","['great', 'new', 'packaged', 'nice', 'works', 'good', 'problems', 'came', 'less', 'time', 'expected']"
568,Great Product.,Positive,Great Product,"['great', 'product']","['great', 'product']"
569,It's A PIECE OF CRAP!,Negative,Its A PIECE OF CRAP,"['its', 'a', 'piece', 'of', 'crap']","['piece', 'crap']"
570,"My experience was terrible..... This was my fourth bluetooth headset, and while it was much more comfortable than my last Jabra (which I HATED!!!",Negative,My experience was terrible This was my fourth bluetooth headset and while it was much more comfortable than my last Jabra which I HATED,"['my', 'experience', 'was', 'terrible', 'this', 'was', 'my', 'fourth', 'bluetooth', 'headset', 'and', 'while', 'it', 'was', 'much', 'more', 'comfortable', 'than', 'my', 'last', 'jabra', 'which', 'i', 'hated']","['experience', 'terrible', 'fourth', 'bluetooth', 'headset', 'much', 'comfortable', 'last', 'jabra', 'hated']"
571,This fixes all the problems.,Positive,This fixes all the problems,"['this', 'fixes', 'all', 'the', 'problems']","['fixes', 'problems']"
572,Worst ever.,Negative,Worst ever,"['worst', 'ever']","['worst', 'ever']"
573,I am very happy,Positive,I am very happy,"['i', 'am', 'very', 'happy']",['happy']
574,"I've had no trouble accessing the Internet, downloading ringtones or performing any of the functions.",Positive,Ive had no trouble accessing the Internet downloading ringtones or performing any of the functions,"['ive', 'had', 'no', 'trouble', 'accessing', 'the', 'internet', 'downloading', 'ringtones', 'or', 'performing', 'any', 'of', 'the', 'functions']","['ive', 'trouble', 'accessing', 'internet', 'downloading', 'ringtones', 'performing', 'functions']"
575,"I can barely ever hear on it and am constantly saying ""what?""",Negative,I can barely ever hear on it and am constantly saying what,"['i', 'can', 'barely', 'ever', 'hear', 'on', 'it', 'and', 'am', 'constantly', 'saying', 'what']","['barely', 'ever', 'hear', 'constantly', 'saying']"
576,The battery life is highly unacceptable.,Negative,The battery life is highly unacceptable,"['the', 'battery', 'life', 'is', 'highly', 'unacceptable']","['battery', 'life', 'highly', 'unacceptable']"
577,That company is a joke.,Negative,That company is a joke,"['that', 'company', 'is', 'a', 'joke']","['company', 'joke']"
578,It does everything the description said it would.,Positive,It does everything the description said it would,"['it', 'does', 'everything', 'the', 'description', 'said', 'it', 'would']","['everything', 'description', 'said', 'would']"
579,Due to this happening on every call I was forced to stop using this headset.,Negative,Due to this happening on every call I was forced to stop using this headset,"['due', 'to', 'this', 'happening', 'on', 'every', 'call', 'i', 'was', 'forced', 'to', 'stop', 'using', 'this', 'headset']","['due', 'happening', 'every', 'call', 'forced', 'stop', 'using', 'headset']"
580,"It works great with a car charger, especially if you cannot plug in two adapters at the same time.",Positive,It works great with a car charger especially if you cannot plug in two adapters at the same time,"['it', 'works', 'great', 'with', 'a', 'car', 'charger', 'especially', 'if', 'you', 'can', 'not', 'plug', 'in', 'two', 'adapters', 'at', 'the', 'same', 'time']","['works', 'great', 'car', 'charger', 'especially', 'plug', 'two', 'adapters', 'time']"
581,"Verizon tech support walked my through a few procedures, none of which worked and I ended up having to do a hard re-set, wiping out all my data.",Negative,Verizon tech support walked my through a few procedures none of which worked and I ended up having to do a hard reset wiping out all my data,"['verizon', 'tech', 'support', 'walked', 'my', 'through', 'a', 'few', 'procedures', 'none', 'of', 'which', 'worked', 'and', 'i', 'ended', 'up', 'having', 'to', 'do', 'a', 'hard', 'reset', 'wiping', 'out', 'all', 'my', 'data']","['verizon', 'tech', 'support', 'walked', 'procedures', 'none', 'worked', 'ended', 'hard', 'reset', 'wiping', 'data']"
